application_id,race,gender,income,credit_score,debt_ratio,loan_amount,zipcode,approved
101,White,Male,85000,720,0.35,250000,90210,1
102,Black,Female,72000,680,0.42,180000,90001,0
103,Asian,Male,115000,780,0.25,450000,94105,1
104,Hispanic,Female,65000,650,0.48,150000,90011,0
105,White,Female,92000,740,0.31,300000,90211,1
106,Black,Male,78000,690,0.39,200000,90002,0
107,Asian,Female,105000,760,0.28,400000,94107,1
108,Hispanic,Male,70000,660,0.45,160000,90012,0
109,White,Male,88000,730,0.33,280000,90212,1
110,Black,Female,75000,685,0.40,190000,90003,0
